current_normalized,concentration
2.1949038775595313,0.008433036
1.8758734482956814,0.020028461
1.4504995426105483,0.100142307
1.308708240715504,0.040056923
1.0251256369254151,0.443261477
-0.10920477823493988,1.0
-0.14465260370870098,2.0
-0.39278738202502866,5.0
-0.534578683920073,7.0
-0.7118178112888784,12.0
-0.8536091131839229,15.0
-0.9245047641314451,18.0
-1.0662960660264895,20.0
-1.0662960660264895,25.0
-1.0662960660264895,28.0
-1.0662960660264895,30.0
0.7990100938924044,0.949207135
0.6351995567140432,1.828032015
0.44704399287068464,2.742068305
0.08527660993390397,4.534848343
-0.27157287639838373,6.362880358
-0.633340258980686,8.155660396
-0.9803884635397042,9.983773544
